Name,Payload,SSIM_Score,MSE_Score,PSNR_Score,Name,Payload,SSIM_Score,MSE_Score,PSNR_Score,SSIM_Difference,MSE_Difference,PSNR_Difference
Stegano1,1 byte payload,0.999999998112400,0.00000198682149251302,105.1492151,Stegano1,1572864,0.995289166,0.499336481,51.14687064,0.004710832,0.499334494,54.00234446
Stegano2,1 byte payload,0.999999997810673,0.00000578703703703703,100.506241,Stegano2,540000,0.995639149,0.497066204,51.16666125,0.004360849,0.497060417,49.33957975
Stegano3,1 byte payload,0.999999996071059,0.00000600137174211248,100.3482983,Stegano3,437400,0.995789484,0.500888775,51.13339062,0.004210512,0.500882774,49.21490768
Stegano4,1 byte payload,0.999999996457152,0.00000182787577311197,105.5113368,Stegano4,1572864,0.996883631,0.498654763,51.15280389,0.003116365,0.498652935,54.35853291
Stegano5,1 byte payload,0.999999991589484,0.00000532407407407407,100.8683627,Stegano5,540000,0.996875733,0.49853287,51.15386562,0.003124259,0.498527546,49.71449708
Stegano6,1 byte payload,0.999999995572811,0.00000241666666666666,104.2986361,Stegano6,1500000,0.99628166,0.50739775,51.07731824,0.003718336,0.507395333,53.22131786
Stegano7,1 byte payload,0.999999989548246,0.00000731150309244791,99.49073693,Stegano7,393216,0.997258519,0.498128891,51.1573863,0.002741471,0.498121579,48.33335063
Stegano8,1 byte payload,0.999999998265288,0.00000190734863281250,105.3265028,Stegano8,1572864,0.996588432,0.501500448,51.12809036,0.003411566,0.501498541,54.19841244
Stegano9,1 byte payload,0.999999998825194,0.00000198682149251302,105.1492151,Stegano9,1572864,0.996542993,0.513200521,51.02793272,0.003457006,0.513198534,54.12128238
Stegano10,1 byte payload,0.999999996867103,0.00000434027777777777,101.7556284,Stegano10,460800,0.997266441,0.499645182,51.14418657,0.002733556,0.499640842,50.61144183
Stegano11,1 byte payload,0.999999987558897,0.00000640325114404753,100.0667983,Stegano11,351384,0.996583052,0.511831429,51.0395341,0.003416936,0.511825026,49.0272642
