Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,Shortened,Prefix/Suffix,Sub-domain,DNS_Record,Number_of_Param,Number_of_Period,Web_Traffic,StatusBar_Costumized,RightClick_Disabled,Forward,SSL,Iframe_Redirect,Num _HiddenTags,Num_Hyperlinks,Num_Iframe,Domain_Age,Label
tobogo.net,0,0,1,2,0,0,0,0,0,0,9,2,1,0,1,0,1,0,0,0,0,0,0
slashdot.org,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,104,0,0,0
twitter.com,0,0,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,6,0,0,0
fanpage.gr,0,0,1,3,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,138,0,1,0
techcrunch.com,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
ecnavi.jp,0,0,1,1,1,0,0,0,0,1,2,3,0,0,1,0,0,0,0,67,1,1,0
grantland.com,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,84,1,0,0
ap.org,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,96,1,0,0
bleacherreport.com,0,0,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,46,0,0,0
kienthuc.net.vn,0,0,1,2,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,241,1,1,0
techcrunch.com,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,0,0,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,13,1,0,1,0,1,0,0,0,0,0,0
serverfault.com,0,0,1,3,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,284,0,0,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,13,1,0,1,0,1,0,0,0,0,0,0
steamcommunity.com,0,0,1,7,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,189,0,0,0
elitedaily.com,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,51,0,0,0
indianexpress.com,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,333,0,0,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,11,1,0,1,0,1,0,0,0,0,0,0
otomoto.pl,0,0,1,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,51,0,0,0
sourceforge.net,0,0,1,3,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,583,0,0,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,10,1,0,1,0,1,0,0,0,0,0,0
tobogo.net,0,0,1,2,0,0,0,0,0,0,9,2,1,0,1,0,1,0,0,0,0,0,0
xvideo-jp.com,0,0,1,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,341,1,0,0
variety.com,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,277,2,0,0
mic.com,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,42,0,0,0
grantland.com,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,108,1,0,0
kienthuc.net.vn,0,0,1,2,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,198,1,1,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,8,1,0,1,0,1,0,0,0,0,0,0
tobogo.net,0,0,1,2,0,0,0,0,0,0,9,2,1,0,1,0,1,0,0,0,0,0,0
elitedaily.com,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,69,1,0,0
tobogo.net,0,0,1,2,0,0,0,0,0,0,9,2,1,0,1,0,1,0,0,0,0,0,0
mirtesen.ru,0,0,1,1,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0
interpark.com,0,0,1,2,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,7,0,0,0
kotaku.com,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,74,1,0,0
bdnews24.com,0,0,1,5,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,195,1,0,0
grantland.com,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,85,0,0,0
