Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,Shortened,Prefix/Suffix,Sub-domain,DNS_Record,Number_of_Param,Number_of_Period,Web_Traffic,StatusBar_Costumized,RightClick_Disabled,Forward,SSL,Iframe_Redirect,Num _HiddenTags,Num_Hyperlinks,Num_Iframe,Domain_Age,Label
i4us.com,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,6,0,0,1
banhywkaie.com,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,6,0,0,1
zpr.io,0,1,0,1,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,1
e4ra.byethost8.com,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1
clouddoc-authorize.firebaseapp.com,0,0,1,3,0,0,0,1,0,1,0,24,1,0,1,0,0,0,0,0,0,1,1
asiandrama.ge,0,0,0,4,0,0,0,0,0,1,0,3,1,0,1,0,1,0,0,0,0,1,1
suppliers.bitshepherd.org,0,0,1,6,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,3,0,0,1
forms.office.com,0,0,1,2,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,1
weddingknock.top,0,0,1,2,0,0,0,0,0,1,1,2,1,0,1,0,1,0,0,0,0,1,1
l.wl.co,0,0,1,1,1,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,6,0,0,1
onlineserveroffice365.mfs.gg,0,0,0,1,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,1
tsecure-paxful.com,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1
cexclean.com,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,1,0,1,1
docsharex-authorize.firebaseapp.com,0,0,1,3,0,0,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,1,1
dexlerholdings.com,0,0,1,5,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1
firebasestorage.googleapis.com,0,1,1,5,0,0,1,0,0,1,2,6,0,0,1,0,0,0,0,1,0,1,1
notificacioneslv.hostfree.pw,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0,1
aabpjs.covidharsh.com,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,1,1
google.com,0,0,1,1,0,0,0,0,0,0,4,5,0,0,1,0,0,0,0,2,0,0,1
sg3plvwcpnl378889.prod.sin3.secureserver.net,0,1,1,5,0,0,0,0,1,0,1,6,0,0,1,0,0,0,0,0,0,0,1
stylifehomedecors.com,0,0,1,3,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1
aepwfh.covidharsh.com,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,1,1
jenniangel.vzpla.net,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0,1
grandmarketltd.co.uk,0,0,1,7,0,0,0,0,0,0,3,3,1,0,1,0,0,0,0,0,0,0,1
oa5.a0001.net,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1
bit.ly,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,3,0,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,6,0,0,1
goo.gl,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,50,1,1,1
accounts-autoscout24.de,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,11,0,1,1
app-dec-access.com,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1
onedrive.live.com,0,0,1,1,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,1
suppliers.bitshepherd.org,0,0,1,7,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0,3,0,0,1
email.2020cycling.cc,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,61,1,0,1
roadgo.co.uk,0,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,1,0,0,1
bit.ly,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,3,0,0,1
activate-hulu-com-activate.sitey.me,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,20,0,0,1
livenmitac-my.sharepoint.com,0,0,1,5,0,0,1,1,0,0,4,3,1,0,1,0,0,0,0,3,0,0,1
brouhk.com,0,0,1,1,0,0,0,0,0,0,2,3,1,0,1,0,1,0,0,102,0,1,1
vevobahisgunceladres.blogspot.com,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,0,0,7,0,1,1
uytg.hyperphp.com,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0,1
betasus111.blogspot.com,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,0,0,7,0,1,1
mail.trendset.com.ar.ci3.toservers.com,0,0,1,4,0,0,1,0,1,0,0,11,1,0,1,0,1,0,0,7,1,0,1
linktr.ee,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
drive.google.com,0,0,1,4,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,1
jstrieb.github.io,0,0,1,1,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,1
clouddoc-authorize.firebaseapp.com,0,0,1,1,0,0,0,1,0,1,0,14,1,0,1,0,0,0,0,0,0,1,1
theultimatelistener.com,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,295,0,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,6,0,0,1
roundtreeconsulting.net,0,0,1,3,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,1,0,0,1
forms.office.com,0,0,1,2,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,6,0,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,6,0,0,1
mail.trendset.com.ar.ci3.toservers.com,0,0,1,4,0,0,1,0,1,0,0,11,1,0,1,0,1,0,0,7,1,0,1
switch.com.kw,0,0,0,1,0,0,0,0,0,1,0,3,1,0,1,0,1,0,0,0,0,1,1
bit.ly,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,3,0,0,1
appleverificationalert.com:443,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,6,0,1,1
cyrela-imoveis.blogspot.com,0,0,0,0,0,0,1,1,0,1,0,2,1,0,1,0,0,0,0,20,0,1,1
cashflowfxonline.com,0,0,1,5,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,9,1,0,1
linktr.ee,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4,0,0,1
linktr.ee,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
secure-monitor.com,0,0,1,1,0,0,0,1,0,0,1,2,1,0,1,0,1,0,0,0,0,0,1
flavena.co.rs,0,0,0,1,0,0,0,0,0,1,0,3,1,0,1,0,0,0,0,1,0,1,1
zpr.io,0,1,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1
vk-coolsgirl.ru,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,55,0,1,1
docsharex-authorize.firebaseapp.com,0,0,0,1,0,0,0,1,0,1,0,8,1,0,1,0,0,0,0,0,0,1,1
betcupum.blogspot.com,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,0,0,7,0,1,1
docs.google.com,0,0,1,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,6,0,0,1
freegsm.co,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,102,0,0,1
lloydsbank.online-auth-verify-secure.com,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1
mfacebook.blogspot.rs,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,113,10,1,1
esgcommercialbrokers.com,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
hhtinvestments.com,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
elomo.ro,0,0,1,5,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,1
wsxwaaaa.web.app,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1
bit.ly,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,3,0,0,1
securitycode2021.hostfree.pw,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1
sites.google.com,0,0,0,4,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,28,1,0,1
docsharex-authorize.firebaseapp.com,0,0,1,2,0,0,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,1,1
jasonmaiolo.com,0,0,1,2,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1
s.yam.com,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,6,0,0,1
docsharex-authorize.firebaseapp.com,0,0,1,3,0,0,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,1,1
betasusgirisadresi.blogspot.com,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,0,0,7,0,1,1
ftp.trialshop.it,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,1239,0,0,1
glossmeup.ae,0,0,0,2,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,1,1
bit.ly,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,3,0,0,1
maddho435st.gb.net,0,0,1,2,0,0,0,0,0,1,3,2,1,0,1,0,1,0,0,1,0,1,1
xj33w.mjt.lu,0,0,1,5,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,3,0,1,1
abnmart.co.in,0,0,0,1,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,1
rendangunitutie.com,0,0,1,4,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1
skradvanidance.business.site,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,15,0,1,1
david-held.com,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,9,0,0,1
forms.gle,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,6,0,1,1
old.prunescape.com.au,0,0,0,0,0,0,0,0,1,0,0,4,1,0,1,0,1,0,0,0,0,1,1
jasonmaiolo.com,0,0,1,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
forms.office.com,0,0,1,2,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,1
