Query_Image,Exactly_the_same,Euclidean Distance,Similar_Image_Pair,Euclidean Distance,1st_False_Image_Pair,Euclidean Distance,2nd_False_Image_Pair,Euclidean Distance
10 E.jpg,10 E.jpg,0,10 O.jpg,0.45032963,Not in range,-,Not in range,-
100 E.jpg,100 E.jpg,0,100 O.jpg,0.203433,Not in range,-,Not in range,-
11 E.jpg,11 E.jpg,0,11 O.jpg,0.64794993,Not in range,-,Not in range,-
12 E.jpg,12 E.jpg,0,12 O.jpg,0.2777095,Not in range,-,Not in range,-
13 E.jpg,13 E.jpg,0,13 O.jpg,0.2455731,Not in range,-,Not in range,-
14 E.jpg,14 E.jpg,0,14 O.jpg,0.3789954,Not in range,-,Not in range,-
15 E.jpg,15 E.jpg,0,15 O.jpg,0.326788,Not in range,-,Not in range,-
16 E.jpg,16 E.jpg,0,16 O.jpg,0.4165146,Not in range,-,Not in range,-
17 E.jpg,17 E.jpg,0,17 O.jpg,0.2850679,Not in range,-,Not in range,-
18 E.jpg,18 E.jpg,0,18 O.jpg,0.22891112,Not in range,-,Not in range,-
19 E.jpg,19 E.jpg,0,19 O.jpg,0.35089844,Not in range,-,Not in range,-
1E.jpg,1E.jpg,0,1O.jpg,0.37480247,Not in range,-,Not in range,-
20 E.jpg,20 E.jpg,0,20 O.jpg,0.39728567,Not in range,-,Not in range,-
21 E.jpg,21 E.jpg,0,21 O.jpg,0.40654373,Not in range,-,Not in range,-
22 E.jpg,22 E.jpg,0,22 O.jpg,0.26495457,Not in range,-,Not in range,-
23 E.jpg,23 E.jpg,0,23 O.jpg,0.40007368,Not in range,-,Not in range,-
24 E.jpg,24 E.jpg,0,24 O.jpg,0.15728034,Not in range,-,Not in range,-
25 E.jpg,25 E.jpg,0,25 O.jpg,0.45093298,Not in range,-,Not in range,-
26 E.jpg,26 E.jpg,0,26 O.jpg,0.5964573,Not in range,-,Not in range,-
27 E.jpg,27 E.jpg,0,27 O.jpg,0.5408335,Not in range,-,Not in range,-
28 E.jpg,28 E.jpg,0,28 O.jpg,0.11892489,Not in range,-,Not in range,-
29 E.jpg,29 E.jpg,0,29 O.jpg,0.27451116,Not in range,-,Not in range,-
2E.jpg,2E.jpg,0,2O.jpg,0.43898335,Not in range,-,Not in range,-
30 E.jpg,30 E.jpg,0,30 O.jpg,0.17664546,Not in range,-,Not in range,-
31 E.jpg,31 E.jpg,0,31 O.jpg,0.2756818,Not in range,-,Not in range,-
32 E.jpg,32 E.jpg,0,32 O.jpg,0.47304237,Not in range,-,Not in range,-
33 E.jpg,33 E.jpg,0,33 O.jpg,0.39178377,Not in range,-,Not in range,-
34 E.jpg,34 E.jpg,0,34 O.jpg,0.33468372,Not in range,-,Not in range,-
35 E.jpg,35 E.jpg,0,35 O.jpg,0.33134943,Not in range,-,Not in range,-
36 E.jpg,36 E.jpg,0,36 O.jpg,0.20665698,56 O.jpg,0.7554759,Not in range,-
37 E.jpg,37 E.jpg,0,37 O.jpg,0.42156997,Not in range,-,Not in range,-
38 E.jpg,38 E.jpg,0,38 O.jpg,0.34980154,Not in range,-,Not in range,-
39 E.jpg,39 E.jpg,0,39 O.jpg,0.29500696,Not in range,-,Not in range,-
3E.jpg,3E.jpg,0,3O.jpg,0.24461146,Not in range,-,Not in range,-
4 E.jpg,4 E.jpg,0,4 O.jpg,0.2952434,Not in range,-,Not in range,-
40 E.jpg,40 E.jpg,0,40 O.jpg,0.17807604,Not in range,-,Not in range,-
41 E.jpg,41 E.jpg,0,41 O.jpg,0.34869802,Not in range,-,Not in range,-
42 E.jpg,42 E.jpg,0,42 O.jpg,0.10925727,Not in range,-,Not in range,-
43 E.jpg,43 E.jpg,0,43 O.jpg,0.3039597,Not in range,-,Not in range,-
44 E.jpg,44 E.jpg,0,44 O.jpg,0.5144737,Not in range,-,Not in range,-
45 E.jpg,45 E.jpg,0,45 O.jpg,0.2048659,Not in range,-,Not in range,-
46 E.jpg,46 E.jpg,0,46 O.jpg,0.3456696,Not in range,-,Not in range,-
47 E.jpg,47 E.jpg,0,47 O.jpg,0.4795183,Not in range,-,Not in range,-
48 E.jpg,48 E.jpg,0,48 O.jpg,0.28177932,Not in range,-,Not in range,-
49 E.jpg,49 E.jpg,0,49 O.jpg,0.24572673,Not in range,-,Not in range,-
5 E.jpg,5 E.jpg,0,5 O.jpg,0.5411277,Not in range,-,Not in range,-
50 E.jpg,50 E.jpg,0,50 O.jpg,0.20520237,Not in range,-,Not in range,-
51 E.jpg,51 E.jpg,0,51 O.jpg,0.18624434,Not in range,-,Not in range,-
52 E.jpg,52 E.jpg,0,52 O.jpg,0.35361028,Not in range,-,Not in range,-
53 E.jpg,53 E.jpg,0,53 O.jpg,0.45089564,Not in range,-,Not in range,-
54 E.jpg,54 E.jpg,0,54 O.jpg,0.24026124,Not in range,-,Not in range,-
55 E.jpg,55 E.jpg,0,55 O.jpg,0.4608302,Not in range,-,Not in range,-
56 E.jpg,56 E.jpg,0,56 O.jpg,0.47771117,15 O.jpg,0.75912166,Not in range,-
57 E.jpg,57 E.jpg,0,57 O.jpg,0.49596855,Not in range,-,Not in range,-
58 E.jpg,58 E.jpg,0,58 O.jpg,0.64383644,Not in range,-,Not in range,-
59 E.jpg,59 E.jpg,0,59 O.jpg,0.31735536,Not in range,-,Not in range,-
6 E.jpg,6 E.jpg,0,6 O.jpg,0.23541625,Not in range,-,Not in range,-
60 E.jpg,60 E.jpg,0,60 O.jpg,0.3608704,Not in range,-,Not in range,-
61 E.jpg,61 E.jpg,0,61 o.jpg,0.28719112,Not in range,-,Not in range,-
62 E.jpg,62 E.jpg,0,62 O.jpg,0.36036202,Not in range,-,Not in range,-
63 E.jpg,63 E.jpg,0,63 O.jpg,0.41434044,Not in range,-,Not in range,-
64 E.jpg,64 E.jpg,0,64 O.jpg,0.28167713,Not in range,-,Not in range,-
65 E.jpg,65 E.jpg,0,65 O.jpg,0.21677454,Not in range,-,Not in range,-
66 E.jpg,66 E.jpg,0,66 O.jpg,0.22036582,Not in range,-,Not in range,-
67 E.jpg,67 E.jpg,0,67 O.jpg,0.2571779,Not in range,-,Not in range,-
68 E.jpg,68 E.jpg,0,68 O.jpg,0.23059942,Not in range,-,Not in range,-
69 E.jpg,69 E.jpg,0,69 O.jpg,0.21148422,Not in range,-,Not in range,-
7 E.jpg,7 E.jpg,0,7 O.jpg,0.27481732,Not in range,-,Not in range,-
70 E.jpg,70 E.jpg,0,70 O.jpg,0.47356004,Not in range,-,Not in range,-
71 E.jpg,71 E.jpg,0,71 O.jpg,0.20081449,Not in range,-,Not in range,-
72 E.jpg,72 E.jpg,0,72 O.jpg,0.30247334,Not in range,-,Not in range,-
73 E.jpg,73 E.jpg,0,73 O.jpg,0.40918812,Not in range,-,Not in range,-
74 E.jpg,74 E.jpg,0,74 O.jpg,0.32488957,Not in range,-,Not in range,-
75 E.jpg,75 E.jpg,0,75 O.jpg,0.15442654,Not in range,-,Not in range,-
76 E.jpg,76 E.jpg,0,76 O.jpg,0.27629572,Not in range,-,Not in range,-
77 E.jpg,77 E.jpg,0,77 O.jpg,0.45995027,Not in range,-,Not in range,-
78 E.jpg,78 E.jpg,0,78 O.jpg,0.053645257,56 O.jpg,0.7150244,Not in range,-
79 E.jpg,79 E.jpg,0,79 O.jpg,0.0773376,Not in range,-,Not in range,-
8 E.jpg,8 E.jpg,0,8 O.jpg,0.52045035,Not in range,-,Not in range,-
80 E.jpg,80 E.jpg,0,80 O.jpg,0.3924981,Not in range,-,Not in range,-
81 E.jpg,81 E.jpg,0,81 O.jpg,0.32138565,Not in range,-,Not in range,-
82 E.jpg,82 E.jpg,0,82 O.jpg,0.309078,Not in range,-,Not in range,-
83 E.jpg,83 E.jpg,0,83 O.jpg,0.49434683,Not in range,-,Not in range,-
84 E.jpg,84 E.jpg,0,84 O.jpg,0.34344387,Not in range,-,Not in range,-
85 E.jpg,85 E.jpg,0,85 O.jpg,0.7610732,Not in range,-,Not in range,-
86 E.jpg,86 E.jpg,0,86 O.jpg,0.26754153,Not in range,-,Not in range,-
87 E.jpg,87 E.jpg,0,87 O.jpg,0.67038083,Not in range,-,Not in range,-
88 E.jpg,88 E.jpg,0,88 O.jpg,0.34848687,Not in range,-,Not in range,-
89 E.jpg,89 E.jpg,0,89 O.jpg,0.10193504,Not in range,-,Not in range,-
9 E.jpg,9 E.jpg,0,9 O.jpg,0.33070976,Not in range,-,Not in range,-
90 E.jpg,90 E.jpg,0,90 O.jpg,0.31191343,Not in range,-,Not in range,-
91 E.jpg,91 E.jpg,0,91 O.jpg,0.47118482,Not in range,-,Not in range,-
92 E.jpg,92 E.jpg,0,92 O.jpg,0.27872396,Not in range,-,Not in range,-
93 E.jpg,93 E.jpg,0,93 O.jpg,0.10126034,Not in range,-,Not in range,-
94 E.jpg,94 E.jpg,0,94 O.jpg,0.40640956,Not in range,-,Not in range,-
95 E.jpg,95 E.jpg,0,95 O.jpg,0.35711944,Not in range,-,Not in range,-
96 E.jpg,96 E.jpg,0,96 O.jpg,0.51701194,Not in range,-,Not in range,-
97 E.jpg,97 E.jpg,0,97 O.jpg,0.39044517,Not in range,-,Not in range,-
98 E.jpg,98 E.jpg,0,98 O.jpg,0.23521239,Not in range,-,Not in range,-
99 E.jpg,99 E.jpg,0,99 O.jpg,0.28312382,Not in range,-,Not in range,-
