Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,Shortened,Prefix/Suffix,Sub-domain,DNS_Record,Number_of_Param,Number_of_Period,Web_Traffic,StatusBar_Costumized,RightClick_Disabled,Forward,SSL,Iframe_Redirect,Num _HiddenTags,Num_Hyperlinks,Num_Iframe,Domain_Age,Label
i4us.com,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,6,0,0,1
banhywkaie.com,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,6,0,0,1
zpr.io,0,1,0,1,0,0,0,0,0,1,0,2,1,0,1,0,1,0,0,0,0,1,1
e4ra.byethost8.com,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1
clouddoc-authorize.firebaseapp.com,0,0,1,3,0,0,0,1,0,1,0,24,1,0,1,0,1,0,0,0,0,1,1
asiandrama.ge,0,0,0,4,0,0,0,0,0,1,0,3,1,0,1,0,1,0,0,0,0,1,1
suppliers.bitshepherd.org,0,0,1,6,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,3,0,0,1
forms.office.com,0,0,1,2,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0,0,0,1
weddingknock.top,0,0,1,2,0,0,0,0,0,1,1,2,1,0,1,0,1,0,0,0,0,1,1
l.wl.co,0,0,1,1,1,0,0,0,0,0,1,3,1,0,1,0,1,0,0,0,0,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,6,0,0,1
onlineserveroffice365.mfs.gg,0,0,0,1,0,0,0,0,0,1,0,2,1,0,1,0,1,0,0,0,0,1,1
tsecure-paxful.com,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1
cexclean.com,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,1,0,1,1
docsharex-authorize.firebaseapp.com,0,0,1,3,0,0,0,1,0,1,0,2,1,0,1,0,1,0,0,0,0,1,1
dexlerholdings.com,0,0,1,5,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1
firebasestorage.googleapis.com,0,1,1,5,0,0,1,0,0,1,2,6,0,0,1,0,1,0,0,1,0,1,1
notificacioneslv.hostfree.pw,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0,1
aabpjs.covidharsh.com,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,1,1
google.com,0,0,1,1,0,0,0,0,0,0,4,5,0,0,1,0,1,0,0,2,0,0,1
sg3plvwcpnl378889.prod.sin3.secureserver.net,0,1,1,5,0,0,0,0,1,0,1,6,0,0,1,0,1,0,0,0,0,0,1
stylifehomedecors.com,0,0,1,3,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1
aepwfh.covidharsh.com,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,1,1
jenniangel.vzpla.net,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0,1
grandmarketltd.co.uk,0,0,1,7,0,0,0,0,0,0,3,3,1,0,1,0,1,0,0,0,0,0,1
oa5.a0001.net,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1
bit.ly,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,3,0,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,6,0,0,1
goo.gl,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,50,1,1,1
accounts-autoscout24.de,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,11,0,1,1
app-dec-access.com,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1
onedrive.live.com,0,0,1,1,0,0,0,0,0,0,4,3,0,0,1,0,1,0,0,0,0,0,1
suppliers.bitshepherd.org,0,0,1,7,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0,3,0,0,1
email.2020cycling.cc,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,61,1,0,1
roadgo.co.uk,0,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,1,0,0,1,0,0,1
bit.ly,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,3,0,0,1
